武汉,20250307,20250310,699,1739848381,WUH
武汉,20250313,20250316,669,1739848381,WUH
武汉,20250320,20250323,669,1739848381,WUH
武汉,20250321,20250324,749,1739848381,WUH
西安,20250220,20250223,780,1739848381,SIA
西安,20250227,20250302,650,1739848381,SIA
西安,20250228,20250303,630,1739848381,SIA
西安,20250306,20250309,600,1739848381,SIA
西安,20250307,20250310,700,1739848381,SIA
西安,20250314,20250317,690,1739848381,SIA
西安,20250320,20250323,662,1739848381,SIA
西安,20250321,20250324,680,1739848381,SIA
重庆,20250220,20250223,775,1739848381,CKG
重庆,20250227,20250302,745,1739848381,CKG
重庆,20250228,20250303,760,1739848381,CKG
重庆,20250306,20250309,775,1739848381,CKG
重庆,20250307,20250310,760,1739848381,CKG
重庆,20250313,20250316,785,1739848381,CKG
青岛,20250228,20250303,785,1739848381,TAO
南京,20250221,20250224,785,1739848381,NKG
南京,20250227,20250302,700,1739848381,NKG
南京,20250228,20250303,700,1739848381,NKG
南京,20250307,20250310,700,1739848381,NKG
南京,20250314,20250317,780,1739848381,NKG
南京,20250321,20250324,770,1739848381,NKG
昆明,20250227,20250302,749,1739848381,KMG
昆明,20250228,20250303,684,1739848381,KMG
昆明,20250306,20250309,740,1739848381,KMG
昆明,20250307,20250310,720,1739848381,KMG
昆明,20250314,20250317,777,1739848381,KMG
济南,20250220,20250223,780,1739848381,TNA
济南,20250221,20250224,630,1739848381,TNA
济南,20250227,20250302,620,1739848381,TNA
济南,20250228,20250303,600,1739848381,TNA
济南,20250306,20250309,650,1739848381,TNA
济南,20250307,20250310,650,1739848381,TNA
济南,20250313,20250316,680,1739848381,TNA
济南,20250314,20250317,660,1739848381,TNA
济南,20250320,20250323,720,1739848381,TNA
济南,20250321,20250324,650,1739848381,TNA
福州,20250227,20250302,671,1739848381,FOC
福州,20250228,20250303,669,1739848381,FOC
福州,20250306,20250309,668,1739848381,FOC
福州,20250313,20250316,670,1739848381,FOC
福州,20250314,20250317,670,1739848381,FOC
福州,20250320,20250323,673,1739848381,FOC
福州,20250321,20250324,678,1739848381,FOC
常州,20250221,20250224,721,1739848381,CZX
常州,20250227,20250302,667,1739848381,CZX
常州,20250228,20250303,709,1739848381,CZX
常州,20250306,20250309,679,1739848381,CZX
常州,20250307,20250310,700,1739848381,CZX
常州,20250313,20250316,700,1739848381,CZX
常州,20250314,20250317,700,1739848381,CZX
常州,20250321,20250324,700,1739848381,CZX
东营,20250221,20250224,650,1739848381,DOY
东营,20250227,20250302,620,1739848381,DOY
东营,20250228,20250303,620,1739848381,DOY
东营,20250306,20250309,520,1739848381,DOY
东营,20250307,20250310,570,1739848381,DOY
